Tape,TB,FN,FP,Se(%),+P(%),DER(%)
100,2273,1,0,99.96,100.00,0.04
101,1865,0,4,100.00,99.79,0.21
102,2187,0,1,100.00,99.95,0.05
103,2084,0,1,100.00,99.95,0.05
104,2229,2,21,99.91,99.07,1.03
105,2572,10,42,99.61,98.39,2.02
106,2027,30,4,98.52,99.80,1.68
107,2137,1,1,99.95,99.95,0.09
108,1763,44,87,97.50,95.18,7.43
109,2532,1,1,99.96,99.96,0.08
111,2124,0,1,100.00,99.95,0.05
112,2539,0,1,100.00,99.96,0.04
113,1795,1,1,99.94,99.94,0.11
114,1879,7,16,99.63,99.15,1.22
115,1953,1,1,99.95,99.95,0.10
116,2412,16,5,99.34,99.79,0.87
117,1535,0,1,100.00,99.93,0.07
118,2278,0,0,100.00,100.00,0.00
119,1987,0,1,100.00,99.95,0.05
121,1863,1,2,99.95,99.89,0.16
122,2476,0,0,100.00,100.00,0.00
123,1518,0,1,100.00,99.93,0.07
124,1619,0,1,100.00,99.94,0.06
200,2601,5,4,99.81,99.85,0.35
201,1963,27,28,98.62,98.57,2.80
202,2136,5,4,99.77,99.81,0.42
203,2980,126,36,95.77,98.75,5.44
205,2656,2,1,99.92,99.96,0.11
207,1860,3,254,99.84,87.97,13.82
208,2955,14,5,99.53,99.83,0.64
209,3005,2,1,99.93,99.97,0.10
210,2650,53,6,98.00,99.77,2.23
212,2748,1,1,99.96,99.96,0.07
213,3251,5,0,99.85,100.00,0.15
214,2262,2,2,99.91,99.91,0.18
215,3363,2,1,99.94,99.97,0.09
217,2208,3,2,99.86,99.91,0.23
219,2154,0,4,100.00,99.81,0.19
220,2048,0,0,100.00,100.00,0.00
221,2427,5,5,99.79,99.79,0.41
222,2483,15,5,99.40,99.80,0.81
223,2605,1,1,99.96,99.96,0.08
228,2053,35,81,98.30,96.14,5.65
230,2256,0,0,100.00,100.00,0.00
231,1571,1,2,99.94,99.87,0.19
232,1780,1,339,99.94,83.99,19.10
233,3079,5,0,99.84,100.00,0.16
234,2753,1,0,99.96,100.00,0.04
TOTAL,109494,429,975,99.61,99.11,1.28
