Tape,TB,FN,FP,Se(%),+P(%),DER(%)
100,2272,0,0,100.00,100.00,0.00
101,1866,1,3,99.95,99.84,0.21
102,2187,0,0,100.00,100.00,0.00
103,2084,0,0,100.00,100.00,0.00
104,2228,0,27,100.00,98.80,1.21
105,2573,12,36,99.53,98.61,1.87
106,2027,2,0,99.90,100.00,0.10
107,2138,3,0,99.86,100.00,0.14
108,1763,28,72,98.41,96.02,5.67
109,2531,0,0,100.00,100.00,0.00
111,2125,1,0,99.95,100.00,0.05
112,2539,0,0,100.00,100.00,0.00
113,1795,0,0,100.00,100.00,0.00
114,1880,0,4,100.00,99.79,0.21
115,1953,0,0,100.00,100.00,0.00
116,2391,5,4,99.79,99.83,0.38
117,1534,0,0,100.00,100.00,0.00
118,2278,0,0,100.00,100.00,0.00
119,1987,0,0,100.00,100.00,0.00
121,1864,1,1,99.95,99.95,0.11
122,2476,0,0,100.00,100.00,0.00
123,1519,3,0,99.80,100.00,0.20
124,1620,1,0,99.94,100.00,0.06
200,2598,1,1,99.96,99.96,0.08
201,1962,17,0,99.13,100.00,0.87
202,2136,6,0,99.72,100.00,0.28
203,2980,97,21,96.74,99.28,3.96
205,2656,4,0,99.85,100.00,0.15
207,1842,2,10,99.89,99.46,0.65
208,2954,15,1,99.49,99.97,0.54
209,3005,0,0,100.00,100.00,0.00
210,2650,63,3,97.62,99.88,2.49
212,2747,0,0,100.00,100.00,0.00
213,3250,3,0,99.91,100.00,0.09
214,2262,3,1,99.87,99.96,0.18
215,3363,5,0,99.85,100.00,0.15
217,2208,6,1,99.73,99.95,0.32
219,2154,0,0,100.00,100.00,0.00
220,2048,0,0,100.00,100.00,0.00
221,2427,3,0,99.88,100.00,0.12
222,2483,1,0,99.96,100.00,0.04
223,2605,1,0,99.96,100.00,0.04
228,2053,3,62,99.85,97.06,3.17
230,2256,0,0,100.00,100.00,0.00
231,1571,0,0,100.00,100.00,0.00
232,1780,0,0,100.00,100.00,0.00
233,3078,6,0,99.81,100.00,0.19
234,2753,1,0,99.96,100.00,0.04
TOTAL,109451,294,247,99.73,99.77,0.49
