Tape,TB,FN,FP,Se(%),+P(%),DER(%)
100,2273,7,1,99.69,99.96,0.35
101,1865,3,0,99.84,100.00,0.16
102,2187,1554,0,28.94,100.00,71.06
103,2084,2,0,99.90,100.00,0.10
104,2229,1605,0,27.99,100.00,72.01
105,2572,31,104,98.79,96.07,5.25
106,2027,99,526,95.12,78.57,30.83
107,2137,38,1814,98.22,53.64,86.66
108,1763,1051,1,40.39,99.86,59.67
109,2532,10,7,99.61,99.72,0.67
111,2124,1054,1,50.38,99.91,49.67
112,2539,45,0,98.23,100.00,1.77
113,1795,4,1788,99.78,50.04,99.83
114,1879,1645,5,12.45,97.91,87.81
115,1953,1,0,99.95,100.00,0.05
116,2412,23,544,99.05,81.45,23.51
117,1535,40,285,97.39,83.99,21.17
118,2278,70,2,96.93,99.91,3.16
119,1987,1,14,99.95,99.30,0.75
121,1863,44,0,97.64,100.00,2.36
122,2476,0,0,100.00,100.00,0.00
123,1518,0,1,100.00,99.93,0.07
124,1619,43,38,97.34,97.65,5.00
200,2601,724,417,72.16,81.82,43.87
201,1963,285,181,85.48,90.26,23.74
202,2136,24,18,98.88,99.15,1.97
203,2980,533,259,82.11,90.43,26.58
205,2656,48,38,98.19,98.56,3.24
207,1860,1661,258,10.70,43.54,103.17
208,2955,551,18,81.35,99.26,19.26
209,3005,3,2,99.90,99.93,0.17
210,2650,243,13,90.83,99.46,9.66
212,2748,0,78,100.00,97.24,2.84
213,3251,10,1607,99.69,66.85,49.74
214,2262,18,138,99.20,94.21,6.90
215,3363,16,0,99.52,100.00,0.48
217,2208,72,1418,96.74,60.10,67.48
219,2154,45,0,97.91,100.00,2.09
220,2048,0,0,100.00,100.00,0.00
221,2427,13,11,99.46,99.55,0.99
222,2483,1620,0,34.76,100.00,65.24
223,2605,102,12,96.08,99.52,4.38
228,2053,659,8,67.90,99.43,32.49
230,2256,1,9,99.96,99.60,0.44
231,1571,1,23,99.94,98.56,1.53
232,1780,305,0,82.87,100.00,17.13
233,3079,18,402,99.42,88.39,13.64
234,2753,3,0,99.89,100.00,0.11
TOTAL,109494,14325,10041,86.92,90.46,22.25
