Tape,TB,FN,FP,Se(%),+P(%),DER(%)
100,2273,0,0,100.00,100.00,0.00
101,1865,4,8,99.79,99.57,0.64
102,2187,0,0,100.00,100.00,0.00
103,2084,0,0,100.00,100.00,0.00
104,2229,22,82,99.01,96.42,4.67
105,2572,41,63,98.41,97.57,4.04
106,2027,15,4,99.26,99.80,0.94
107,2137,4,2,99.81,99.91,0.28
108,1763,76,21,95.69,98.77,5.50
109,2532,3,3,99.88,99.88,0.24
111,2124,1,0,99.95,100.00,0.05
112,2539,15,1,99.41,99.96,0.63
113,1795,3,0,99.83,100.00,0.17
114,1879,22,4,98.83,99.79,1.38
115,1953,0,0,100.00,100.00,0.00
116,2412,22,6,99.09,99.75,1.16
117,1535,1,1,99.93,99.93,0.13
118,2278,22,36,99.03,98.43,2.55
119,1987,1,1,99.95,99.95,0.10
121,1863,4,1,99.79,99.95,0.27
122,2476,1,1,99.96,99.96,0.08
123,1518,0,0,100.00,100.00,0.00
124,1619,1,1,99.94,99.94,0.12
200,2601,45,71,98.27,97.30,4.46
201,1963,67,0,96.59,100.00,3.41
202,2136,21,1,99.02,99.95,1.03
203,2980,108,154,96.38,94.91,8.79
205,2656,13,2,99.51,99.92,0.56
207,1794,141,11,92.14,99.34,8.47
208,2955,49,32,98.34,98.91,2.74
209,3005,11,18,99.63,99.40,0.97
210,2650,58,20,97.81,99.23,2.94
212,2748,10,13,99.64,99.53,0.84
213,3251,104,4,96.80,99.87,3.32
214,2262,8,8,99.65,99.65,0.71
215,3363,3,7,99.91,99.79,0.30
217,2208,11,2,99.50,99.91,0.59
219,2154,13,0,99.40,100.00,0.60
220,2048,2,1,99.90,99.95,0.15
221,2427,5,5,99.79,99.79,0.41
222,2483,198,3,92.03,99.87,8.10
223,2605,3,1,99.88,99.96,0.15
228,2053,21,39,98.98,98.12,2.92
230,2256,10,6,99.56,99.73,0.71
231,1571,1,5,99.94,99.68,0.38
232,1780,46,2,97.42,99.88,2.70
233,3079,9,10,99.71,99.68,0.62
234,2753,1,1,99.96,99.96,0.07
TOTAL,109428,1216,651,98.89,99.40,1.71
