Tape,TB,FN,FP,Se(%),+P(%),DER(%)
100,2273,1,0,99.96,100.00,0.04
101,1865,2,5,99.89,99.73,0.38
102,2187,0,0,100.00,100.00,0.00
103,2084,4,1,99.81,99.95,0.24
104,2229,4,29,99.82,98.71,1.48
105,2572,8,38,99.69,98.54,1.79
106,2027,1,1,99.95,99.95,0.10
107,2137,4,0,99.81,100.00,0.19
108,1763,245,429,86.10,77.97,38.23
109,2532,3,0,99.88,100.00,0.12
111,2124,1,1,99.95,99.95,0.09
112,2539,0,0,100.00,100.00,0.00
113,1795,1,2,99.94,99.89,0.17
114,1879,1,6,99.95,99.68,0.37
115,1953,0,0,100.00,100.00,0.00
116,2412,24,2,99.00,99.92,1.08
117,1535,1,1,99.93,99.93,0.13
118,2278,0,0,100.00,100.00,0.00
119,1987,0,1,100.00,99.95,0.05
121,1863,0,0,100.00,100.00,0.00
122,2476,0,0,100.00,100.00,0.00
123,1518,3,0,99.80,100.00,0.20
124,1619,0,1,100.00,99.94,0.06
200,2601,3,4,99.88,99.85,0.27
201,1963,50,0,97.45,100.00,2.55
202,2136,6,2,99.72,99.91,0.37
203,2980,61,23,97.95,99.22,2.82
205,2656,6,1,99.77,99.96,0.26
207,1860,3,227,99.84,89.11,12.37
208,2955,23,1,99.22,99.97,0.81
209,3005,1,1,99.97,99.97,0.07
210,2650,26,4,99.02,99.85,1.13
212,2748,0,0,100.00,100.00,0.00
213,3251,1,0,99.97,100.00,0.03
214,2262,4,0,99.82,100.00,0.18
215,3363,1,0,99.97,100.00,0.03
217,2208,3,3,99.86,99.86,0.27
219,2154,0,1,100.00,99.95,0.05
220,2048,1,1,99.95,99.95,0.10
221,2427,7,1,99.71,99.96,0.33
222,2483,1,5,99.96,99.80,0.24
223,2605,3,1,99.88,99.96,0.15
228,2053,4,24,99.81,98.84,1.36
230,2256,0,0,100.00,100.00,0.00
231,1571,0,0,100.00,100.00,0.00
232,1780,1,9,99.94,99.50,0.56
233,3079,5,0,99.84,100.00,0.16
234,2753,0,0,100.00,100.00,0.00
TOTAL,109494,513,825,99.53,99.25,1.22
