Tape,TB,FN,FP,Se(%),+P(%),DER(%)
100,2273,0,0,100.00,100.00,0.00
101,1865,3,5,99.84,99.73,0.43
102,2187,0,0,100.00,100.00,0.00
103,2084,0,0,100.00,100.00,0.00
104,2230,0,1,100.00,99.96,0.04
105,2572,22,67,99.14,97.44,3.46
106,2027,2,5,99.90,99.75,0.35
107,2137,2,0,99.91,100.00,0.09
108,1763,22,199,98.75,89.74,12.54
109,2532,1,0,99.96,100.00,0.04
111,2124,0,1,100.00,99.95,0.05
112,2539,1,0,99.96,100.00,0.04
113,1795,0,0,100.00,100.00,0.00
114,1879,17,3,99.10,99.84,1.06
115,1953,0,0,100.00,100.00,0.00
116,2412,22,3,99.09,99.87,1.04
117,1535,1,1,99.93,99.93,0.13
118,2275,0,1,100.00,99.96,0.04
119,1987,0,1,100.00,99.95,0.05
121,1863,7,4,99.62,99.78,0.59
122,2476,1,1,99.96,99.96,0.08
123,1518,0,0,100.00,100.00,0.00
124,1619,0,0,100.00,100.00,0.00
200,2601,3,6,99.88,99.77,0.35
201,1963,10,0,99.49,100.00,0.51
202,2136,4,0,99.81,100.00,0.19
203,2982,30,53,98.99,98.24,2.78
205,2656,2,0,99.92,100.00,0.08
207,1862,4,4,99.79,99.79,0.43
208,2956,14,4,99.53,99.86,0.61
209,3004,0,3,100.00,99.90,0.10
210,2647,8,2,99.70,99.92,0.38
212,2748,0,0,100.00,100.00,0.00
213,3251,2,1,99.94,99.97,0.09
214,2262,4,2,99.82,99.91,0.27
215,3363,1,0,99.97,100.00,0.03
217,2208,6,4,99.73,99.82,0.45
219,2154,0,0,100.00,100.00,0.00
220,2048,0,0,100.00,100.00,0.00
221,2427,0,2,100.00,99.92,0.08
222,2484,81,101,96.74,95.97,7.33
223,2605,0,1,100.00,99.96,0.04
228,2053,5,25,99.76,98.79,1.46
230,2256,0,1,100.00,99.96,0.04
231,1886,0,0,100.00,100.00,0.00
232,1780,1,6,99.94,99.66,0.39
233,3079,1,0,99.97,100.00,0.03
234,2753,0,0,100.00,100.00,0.00
TOTAL,109809,277,507,99.75,99.54,0.71
